plaza_code,Tollname,Latitude,Longitude,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
536010,AMTL-TP-03-Soldi,23.00127518,71.37273344,0,0,0,0,0,0,0
536011,AMTL-TP-04-Aniyari,23.03716697,70.92821253,0,0,0,0,0,0,0
2008,Anand Toll Plaza,22.59456483,72.98169184,0,0,0,0,0,0,0
536131,Angiya Toll Plaza,23.32546,69.31038,0,0,0,0,0,0,0
540506,Antarveliya Toll Plaza,22.86542443,74.55197072,0,0,0,0,0,0,0
560009,Anumandhai,12.12393692,79.91300057,0,0,0,0,0,0,0
540015,Arambha Toll Plaza,20.55317044,78.97146794,0,0,0,0,0,0,0
312038,Asoda,28.72508761,76.84676517,0,0,0,0,0,0,0
517003,Atal Tunnel Toll,32.4399878,77.16455626,0,0,0,0,0,0,0
536301,Avleshwar Toll Plaza,24.03193437,74.85886364,0,0,0,0,0,0,0
556054,Baberu Km 43,25.49057614,80.46861456,0,0,0,0,0,0,0
312027,Badarpur Faridabad Toll Plaza,28.476208,77.305485,0,0,0,0,0,0,0
545033,Badgaon Toll Plaza,21.29791854,76.32117281,0,0,0,0,0,0,0
545089,Badi Baktara Toll Plaza,22.87928022,77.83055792,0,0,0,0,0,0,0
570046,Badkapara Fee Plaza,26.52825361,76.2476749,0,0,0,0,0,0,0
536201,Badkapara Split Plaza,26.524959,76.251544,0,0,0,0,0,0,0
312039,Badli,28.5717009,76.82314789,0,0,0,0,0,0,0
570020,Bagdi Km 14 Toll Plaza,26.43203328,76.3735593,0,0,0,0,0,0,0
312054,Bahri Toll Plaza,29.48630195,76.51219597,0,0,0,0,0,0,0
312058,Bainsi Toll Plaza,29.02627657,76.39853697,0,0,0,0,0,0,0
520009,Bajna Ramp Toll Plaza,27.88329057,77.66609459,0,0,0,0,0,0,0
545100,Bajrangarh Toll Plaza,24.57565743,77.28678696,0,0,0,0,0,0,0
536226,Bakani Toll Plaza,24.2439484,76.25159046,0,0,0,0,0,0,0
127004,Bakori,22.8436452,79.3582326,0,0,0,0,0,0,0
536023,Bakrol Toll Plaza,22.93484332,72.51981524,0,0,0,0,0,0,0
536230,Bambora (Gudli) Toll Plaza,24.40242736,74.01112722,0,0,0,0,0,0,0
556055,Banda Km 50,25.52752463,80.40375049,0,0,0,0,0,0,0
556046,Baneti Toll Plaza,15.15806304,76.61495109,0,0,0,0,0,0,0
116001,Banglaore- Nelamangala Plaza,13.04968296,77.49435051,0,0,0,0,0,0,0
556027,Bannerghatta Road (P2) Plaza,12.85000209,77.59078669,0,0,0,0,0,0,0
345088,Bansa (Damoh) Toll Plaza,23.80563796,79.37004969,0,0,0,0,0,0,0
536247,Barrod Toll Plaza,27.89264823,76.34479958,0,0,0,0,0,0,0
550022,Basanthnagar Toll Plaza,18.70415855,79.41699396,0,0,0,0,0,0,0
536265,Bassi Naaga Toll Plaza,26.98353558,75.50609192,0,0,0,0,0,0,0
556041,BeechagondanaHalli,13.26413205,77.94552085,0,0,0,0,0,0,0
536287,Beerampura Toll Plaza,27.03460681,77.34673105,0,0,0,0,0,0,0
345094,Bela Toll Plaza,24.493444,81.143406,0,0,0,0,0,0,0
520022,Belsari,25.63972344,83.84049443,0,0,0,0,0,0,0
570021,Bhadoti Toll Plaza,26.22475306,76.37077306,0,0,0,0,0,0,0
312063,Bhalkhi Toll Plaza,28.21222651,76.1940781,0,0,0,0,0,0,0
570044,Bhandaraj Fee Plaza,26.91382168,76.43346353,0,0,0,0,0,0,0
536216,Bhanera,29.54572345,78.25423841,0,0,0,0,0,0,0
540053,Bharvir Toll Plaza,19.75063646,73.77452024,0,0,0,0,0,0,0
536034,Bhat Toll Plaza,23.11535705,72.64284275,0,0,0,0,0,0,0
536219,Bhawanimandi Toll Plaza,24.32672792,75.83298856,0,0,0,0,0,0,0
520017,Bhelara,26.226938,82.670703,0,0,0,0,0,0,0
545084,Bhimpura Toll Plaza,26.657489,78.869295,0,0,0,0,0,0,0
536080,Bhitaha Toll Plaza,26.59907775,83.40223664,0,0,0,0,0,0,0
570031,Bhiwadi Toll,28.17434366,76.82460697,0,0,0,0,0,0,0
540057,Bhiwandi Toll Plaza,19.21195298,73.0075029,0,0,0,0,0,0,0
320103,Bhojpur Plaza DME Km 4570,28.79921049,77.61776076,0,0,0,0,0,0,0
536304,Bhonda Gaon Toll Plaza,27.02325286,77.15241514,0,0,0,0,0,0,0
570018,Bhooka Toll Plaza,25.6409257,71.99981521,0,0,0,0,0,0,0
345086,Bhopal Vidisha Toll Plaza,23.37116141,77.50289141,0,0,0,0,0,0,0
