StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
Keesara,Taramatipet,40,110,130,150,170,180,210
Taramatipet,TSPA,140,110,130,150,170,180,210
Kokapet,Taramatipet,150,110,130,150,170,180,210
Patancheru,Taramatipet,160,110,130,150,170,180,210
Pedda Amberpet,Taramatipet,20,110,130,150,170,180,210
Pedda Golconda,Taramatipet,90,110,130,150,170,180,210
Shamirpet,Taramatipet,60,110,130,150,170,180,210
Ghatkesar,Rajendra Nagar,150,110,130,150,170,180,210
Rajendra Nagar,Tukkuguda,50,110,130,150,170,180,210
Rajendra Nagar,Sultanpur,90,110,130,150,170,180,210
Bongulur,Rajendra Nagar,90,110,130,150,170,180,210
Nanakramguda,Rajendra Nagar,40,110,130,150,170,180,210
Rajendra Nagar,Raviryal,60,110,130,150,170,180,210
Rajendra Nagar,Saragudem,120,110,130,150,170,180,210
Rajendra Nagar,Shamshabad,20,110,130,150,170,180,210
Rajendra Nagar,Taramatipet,120,110,130,150,170,180,210
Edulanagulapally,Rajendra Nagar,60,110,130,150,170,180,210
Medchal,Rajendra Nagar,140,110,130,150,170,180,210
Kandlakoya,Rajendra Nagar,160,110,130,150,170,180,210
Keesara,Rajendra Nagar,160,110,130,150,170,180,210
Rajendra Nagar,TSPA,10,110,130,150,170,180,210
Kokapet,Rajendra Nagar,30,110,130,150,170,180,210
Patancheru,Rajendra Nagar,70,110,130,150,170,180,210
Pedda Amberpet,Rajendra Nagar,110,110,130,150,170,180,210
Pedda Golconda,Rajendra Nagar,30,110,130,150,170,180,210
Rajendra Nagar,Shamirpet,160,110,130,150,170,180,210
Edulanagulapally,Ghatkesar,160,110,130,150,170,180,210
Edulanagulapally,Tukkuguda,110,110,130,150,170,180,210
Edulanagulapally,Sultanpur,40,110,130,150,170,180,210
Bongulur,Edulanagulapally,140,110,130,150,170,180,210
Edulanagulapally,Nanakramguda,40,110,130,150,170,180,210
Edulanagulapally,Raviryal,120,110,130,150,170,180,210
Edulanagulapally,Saragudem,60,110,130,150,170,180,210
Edulanagulapally,Shamshabad,70,110,130,150,170,180,210
Edulanagulapally,Taramatipet,170,110,130,150,170,180,210
Edulanagulapally,Rajendra Nagar,60,110,130,150,170,180,210
Edulanagulapally,Medchal,90,110,130,150,170,180,210
Edulanagulapally,Kandlakoya,200,110,130,150,170,180,210
Edulanagulapally,Keesara,140,110,130,150,170,180,210
Edulanagulapally,TSPA,50,110,130,150,170,180,210
Edulanagulapally,Kokapet,30,110,130,150,170,180,210
Edulanagulapally,Patancheru,20,110,130,150,170,180,210
Edulanagulapally,Pedda Amberpet,160,110,130,150,170,180,210
Edulanagulapally,Pedda Golconda,90,110,130,150,170,180,210
Edulanagulapally,Shamirpet,110,110,130,150,170,180,210
Ghatkesar,Medchal,60,110,130,150,170,180,210
Medchal,Tukkuguda,160,110,130,150,170,180,210
Medchal,Sultanpur,50,110,130,150,170,180,210
Bongulur,Medchal,140,110,130,150,170,180,210
Medchal,Nanakramguda,140,110,130,150,170,180,210
Medchal,Raviryal,150,110,130,150,170,180,210
Medchal,Saragudem,20,110,130,150,170,180,210
Medchal,Shamshabad,160,110,130,150,170,180,210
Medchal,Taramatipet,90,110,130,150,170,180,210
Medchal,Rajendra Nagar,140,110,130,150,170,180,210
